harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,listrik
5000000,  Balikpapan Selatan,200.0,300,SHM,Unfurnished,4,3,3500
3750000,  Balikpapan Utara,414.0,4300,SHM,Unfurnished,5,3,1300
2950000,  Balikpapan Selatan,289.0,200,SHM,Furnished,5,4,5500
2200000,  Balikpapan Selatan,160.0,169,SHM,Furnished,4,3,4400
700000,  Balikpapan Utara,72.0,90,SHM,Unfurnished,3,2,2200
1730000,  Balikpapan Selatan,260.0,150,SHM,Semi-furnished,4,2,2200
900000,  Balikpapan Selatan,70.0,120,HGB,Unfurnished,2,2,1300
500000,  Balikpapan Utara,65.0,78,HGB,Unfurnished,2,2,1300
2800000,  Balikpapan Tengah,240.0,200,SHM,Unfurnished,4,2,1300
650000,  Balikpapan Selatan,80.0,60,SHM,Unfurnished,2,2,1300
790000,  Balikpapan Selatan,120.0,150,SHM,Unfurnished,6,6,2200
1200000,  Balikpapan Timur,90.0,120,SHM,Unfurnished,3,2,2200
950000,  Balikpapan Tengah,120.0,180,HGB,Unfurnished,3,2,2200
750000,  Balikpapan Utara,90.0,90,SHM,Unfurnished,2,2,2200
2200000,  Balikpapan Barat,180.0,119,SHM,Unfurnished,4,2,2200
1900000,  Balikpapan Tengah,300.0,300,SHM,Semi-furnished,3,2,5500
1600000,  Balikpapan Selatan,93.0,171,SHM,Unfurnished,3,2,1300
2600000,  Balikpapan Baru,298.0,200,SHM,Unfurnished,5,4,5500
3000000,  Balikpapan Selatan,240.0,200,SHM,Furnished,3,4,5500
2600000,  Balikpapan Selatan,200.0,165,SHM,Unfurnished,3,3,7700
1615000,  Balikpapan Utara,126.0,360,SHM,Unfurnished,3,1,2200
1100000,  Damai,90.0,135,SHM,Semi-furnished,3,2,2200
650000,  Balikpapan Utara,70.0,104,SHM,Unfurnished,2,1,2200
2200000,  Balikpapan Baru,200.0,200,SHM,Unfurnished,5,3,2200
650000,  Balikpapan Utara,120.0,120,SHM,Unfurnished,2,2,1300
800000,  Balikpapan Selatan,125.0,127,SHM,Unfurnished,2,2,1300
799000,  Sumber Rejo,135.0,125,SHM,Unfurnished,3,3,1300
1800000,  Balikpapan Selatan,154.0,165,SHM,Unfurnished,3,2,2200
750000,  Balikpapan Selatan,90.0,90,SHM,Unfurnished,3,2,2200
2200000,  Balikpapan Selatan,160.0,220,SHM,Unfurnished,3,3,5500
2000000,  Klandasan Ulu,200.0,450,SHM,Unfurnished,4,2,2200
1300000,  Balikpapan Selatan,110.0,140,SHM,Unfurnished,3,2,2200
1000000,  Balikpapan Utara,135.0,135,SHM,Unfurnished,2,2,3500
1600000,  Balikpapan Selatan,150.0,180,SHM,Unfurnished,3,2,4400
2800000,  Balikpapan Selatan,226.0,280,SHM,Semi-furnished,5,5,4400
1840000,  Balikpapan Baru,173.0,198,SHM,Unfurnished,3,3,4400
1500000,  Balikpapan Tengah,170.0,225,SHM,Unfurnished,3,2,2200
1000000,  Damai,90.0,135,SHM,Unfurnished,3,2,2200
1800000,  Balikpapan Selatan,320.0,320,SHM,Semi-furnished,5,3,3500
990000,  Balikpapan Selatan,110.0,120,SHM,Unfurnished,2,2,2200
3500000,  Damai,300.0,250,SHM,Semi-furnished,3,3,4400
3500000,  Balikpapan Selatan,160.1,135,SHM,Unfurnished,4,2,1300
1350000,  Balikpapan Selatan,132.0,91,SHM,Furnished,4,2,3500
1200000,  Balikpapan Utara,130.0,120,SHM,Unfurnished,3,2,3500
1150000,  Balikpapan Utara,46.0,72,SHM,Unfurnished,2,2,1300
1450000,  Balikpapan Utara,300.0,201,SHM,Unfurnished,5,3,4400
570000,  Balikpapan Utara,120.0,180,SHM,Unfurnished,3,2,900
1750000,  Balikpapan Selatan,165.0,240,SHM,Semi-furnished,4,2,2200
1750000,  Balikpapan Selatan,120.0,300,SHM,Furnished,3,2,3500
4000000,  Balikpapan Utara,150.0,319,SHM,Unfurnished,4,5,4400
835000,  Balikpapan Selatan,140.0,150,SHM,Unfurnished,3,2,1300
1100000,  Balikpapan Selatan,60.0,178,SHM,Semi-furnished,3,2,2200
3500000,  Balikpapan Utara,400.0,330,SHM,Unfurnished,4,5,4400
