Price,Lokasi,Tipe,Group,Luas Bangunan,Luas Tanah,Sertifikat,Furnish
"Rp 1,45 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,105 m2,153 m2,HGB,-
"Rp 3,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Baru",Rumah,-,250 m2,240 m2,SHM,-
"Rp 1,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,70 m2,120 m2,SHM,-
"
Rp 2,2 Miliar
","Kalimantan Timur, Balikpapan, Lamaru",Rumah,-,400 m2,700 m2,SHM,-
"Rp 1,35 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,140 m2,150 m2,SHM,Non-furnished
"Rp 4,1 Miliar","Kalimantan Timur, Balikpapan, Telaga Sari",Rumah,Secondary,357 m2,444 m2,SHM,Non-furnished
"Rp 1,38 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,200 m2,105 m2,SHM,Non-furnished
Rp 800 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,-,70 m2,72 m2,SHM,-
Rp 750 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,-,110 m2,150 m2,SHM,-
Rp 12 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,1134 m2,900 m2,SHM,-
